Car_Brand,Model,Engine_Type,Fuel_Efficiency,Safety_Rating,Driving_Condition,Temperature,Road_Type,Traffic_Level,Weather_Condition,Engine_Performance,Battery_Range,Braking_Performance,Emissions,Vehicle_Condition,Tire_Condition,Performance_Optimization,Scenario_Adaptability
Toyota,Camry,Diesel,B,5,Extreme Weather,2,Off-road terrain,Low,Snowy,445,,126,254,Well-maintained,Flat,High,1
Ford,F-150,Petrol,A+,5,Highway,28,Highway,High,Snowy,208,,102,227,Moderate wear,New,High,1
BMW,3 Series,Electric,D,5,Highway,21,Highway,Medium,Rainy,481,,121,161,Poor,New,Low,9
Mercedes,E-Class,Diesel,D,4,Heavy Traffic,9,Off-road terrain,High,Clear,364,,178,252,Moderate wear,Flat,Medium,3
Tesla,Model S,Petrol,D,5,Urban,2,Highway,Medium,Rainy,447,,136,289,Moderate wear,Worn,High,4
Ford,Mustang,Electric,E,4,Highway,13,Highway,Low,Rainy,365,,160,180,Well-maintained,Worn,High,6
BMW,X5,Electric,A++,5,Highway,34,City streets,High,Snowy,167,,140,292,Well-maintained,Flat,High,7
Toyota,Camry,Diesel,B,4,Highway,8,City streets,Low,Rainy,258,,123,156,Poor,Worn,Low,5
Ford,F-150,Diesel,E,4,Off-Road,-2,Off-road terrain,Low,Rainy,339,,159,233,Moderate wear,New,High,6
Ford,Mustang,Petrol,A++,5,Extreme Weather,33,Off-road terrain,Low,Rainy,301,,102,238,Moderate wear,New,Low,7
Toyota,Corolla,Diesel,A++,4,Extreme Weather,25,City streets,High,Rainy,181,,108,244,Poor,New,Medium,6
Tesla,Model 3,Petrol,B,5,Extreme Weather,7,Highway,Low,Snowy,220,,127,162,Poor,Flat,High,8
BMW,X5,Diesel,B,4,Highway,23,Off-road terrain,Low,Snowy,170,,142,225,Well-maintained,Worn,Medium,5
Toyota,Corolla,Electric,D,4,Off-Road,27,Highway,Low,Snowy,428,,142,151,Well-maintained,Worn,Low,7
BMW,X5,Diesel,B,5,Heavy Traffic,10,Off-road terrain,Medium,Clear,342,,181,164,Moderate wear,Worn,Medium,3
Hyundai,Kona EV,Electric,D,4,Extreme Weather,20,City streets,High,Rainy,335,,111,265,Well-maintained,Flat,Medium,1
Toyota,Corolla,Electric,A++,5,Extreme Weather,14,Off-road terrain,Low,Rainy,254,,118,207,Well-maintained,Worn,High,7
Mercedes,GLE,Electric,E,4,Highway,33,Off-road terrain,Medium,Snowy,399,,156,201,Moderate wear,Worn,Low,7
Mercedes,E-Class,Electric,A,4,Highway,30,Off-road terrain,Low,Snowy,299,,171,262,Poor,Worn,High,6
Mercedes,GLE,Electric,E,5,Urban,30,Off-road terrain,Low,Snowy,392,,185,152,Moderate wear,Worn,Medium,9
Tesla,Model 3,Electric,D,5,Highway,19,Off-road terrain,Medium,Snowy,195,,176,181,Moderate wear,Worn,Low,6
Toyota,Camry,Petrol,D,4,Heavy Traffic,11,City streets,Medium,Clear,333,,162,223,Well-maintained,Worn,High,10
Tesla,Model 3,Diesel,A,5,Heavy Traffic,11,Highway,High,Snowy,382,,114,298,Moderate wear,New,High,10
Hyundai,Sonata,Electric,E,5,Extreme Weather,7,City streets,High,Clear,334,,116,163,Poor,Worn,High,2
Ford,Mustang,Petrol,C,4,Urban,19,City streets,High,Rainy,462,,136,186,Well-maintained,Flat,High,3
BMW,X5,Diesel,A+,4,Off-Road,1,Highway,Medium,Snowy,499,,197,281,Moderate wear,Worn,High,2
Tesla,Model S,Petrol,E,4,Heavy Traffic,23,City streets,Medium,Clear,233,,173,167,Well-maintained,Flat,Low,10
Toyota,Camry,Electric,A,5,Off-Road,15,City streets,Medium,Rainy,424,,103,265,Well-maintained,Worn,Low,3
Toyota,Corolla,Petrol,E,4,Off-Road,33,Off-road terrain,Low,Clear,450,,131,246,Moderate wear,Worn,Low,6
Ford,F-150,Electric,B,5,Extreme Weather,2,Off-road terrain,Low,Clear,294,,117,292,Poor,New,Medium,2
Tesla,Model 3,Petrol,C,4,Highway,20,Highway,High,Rainy,390,,119,241,Well-maintained,New,High,1
Toyota,Camry,Electric,D,5,Off-Road,26,Off-road terrain,High,Snowy,407,,189,294,Moderate wear,Flat,High,4
Hyundai,Sonata,Electric,D,4,Heavy Traffic,0,Off-road terrain,High,Snowy,451,,143,157,Well-maintained,New,High,4
Hyundai,Sonata,Electric,D,5,Extreme Weather,20,Off-road terrain,Medium,Snowy,171,,138,207,Moderate wear,Worn,Low,10
Mercedes,E-Class,Petrol,C,4,Highway,26,City streets,Medium,Clear,484,,147,189,Poor,Flat,Medium,9
Mercedes,GLE,Diesel,A++,4,Extreme Weather,8,Off-road terrain,Medium,Snowy,238,,160,275,Poor,Flat,Medium,5
Hyundai,Kona EV,Petrol,E,4,Extreme Weather,19,Off-road terrain,High,Snowy,277,,180,153,Poor,Worn,High,7
Toyota,Corolla,Diesel,A++,4,Extreme Weather,15,Off-road terrain,High,Clear,460,,108,298,Poor,Flat,Medium,8
Tesla,Model 3,Petrol,C,4,Heavy Traffic,13,Off-road terrain,High,Clear,457,,185,269,Well-maintained,Flat,Medium,10
Ford,Mustang,Petrol,E,5,Off-Road,17,Highway,Medium,Snowy,236,,152,281,Poor,New,Low,8
Ford,F-150,Electric,C,4,Urban,-1,Highway,Medium,Clear,308,,173,175,Well-maintained,New,Medium,4
BMW,X5,Petrol,D,4,Urban,16,Highway,Low,Snowy,293,,134,152,Moderate wear,New,Medium,5
Mercedes,E-Class,Petrol,D,4,Urban,18,City streets,Low,Snowy,198,,165,174,Poor,New,Medium,9
Mercedes,GLE,Petrol,A,4,Heavy Traffic,14,Off-road terrain,Medium,Clear,210,,127,152,Poor,Flat,Low,2
Mercedes,GLE,Diesel,E,4,Highway,14,Off-road terrain,High,Rainy,342,,114,270,Moderate wear,New,Low,1
Hyundai,Kona EV,Petrol,E,5,Highway,17,Off-road terrain,Low,Rainy,443,,139,231,Poor,Worn,Medium,2
Tesla,Model 3,Electric,E,4,Off-Road,-5,Off-road terrain,Low,Rainy,176,,111,179,Well-maintained,Flat,Low,3
Hyundai,Kona EV,Electric,D,4,Off-Road,34,Highway,High,Clear,339,,109,195,Well-maintained,Worn,Medium,6
Ford,Mustang,Diesel,B,5,Heavy Traffic,12,Off-road terrain,High,Snowy,487,,144,235,Well-maintained,Flat,Medium,2
Toyota,Corolla,Electric,B,5,Highway,18,Highway,High,Clear,310,,120,202,Moderate wear,Worn,High,10
